"latitude","longitude","housing_median_age","total_rooms","total_bedrooms","population","households","median_income","ocean_proximity_INLAND","ocean_proximity_ISLAND","ocean_proximity_NEAR BAY","ocean_proximity_NEAR OCEAN","median_house_value"
37.34,-121.78,11,3195,410,1774,418,7.0671,0,0,0,0,378200
34.16,-118.78,9,30405,4093,12873,3931,8.0137,0,0,0,1,399200
33.97,-118.32,52,1778,320,795,279,3.5114,0,0,0,0,138800
37.98,-122.01,34,1256,267,638,252,4.0507,0,0,1,0,161000
36.74,-119.69,17,2438,598,1563,538,1.5449,1,0,0,0,62500
34.07,-118.04,39,1382,315,1090,308,3.8125,0,0,0,0,174000
33.63,-117.86,17,3095,551,1175,534,5.3099,0,0,0,0,500001
34.13,-117.26,39,3521,747,2256,721,2.1375,1,0,0,0,87500
33.95,-118.34,25,3762,1281,4015,1178,2.1587,0,0,0,0,143800
40.46,-122.27,14,2633,530,1324,513,2.2768,1,0,0,0,78600
34.05,-117.74,27,852,237,1024,221,2.1141,1,0,0,0,110900
37.67,-119.81,24,172,42,79,30,3.8333,1,0,0,0,93800
34.06,-118.12,17,5137,1614,4945,1535,2.4599,0,0,0,0,181600
34.11,-117.58,14,11635,2055,6443,2009,4.7547,1,0,0,0,157600
34.05,-118.43,22,4251,1073,1581,881,5.2555,0,0,0,0,500001
36.6,-121.9,33,2461,649,1234,601,2.8727,0,0,0,1,225000
37.77,-122.44,52,2002,520,939,501,3.2239,0,0,1,0,488900
37.95,-122.37,32,1298,363,716,268,0.9797,0,0,1,0,76400
37.28,-121.96,33,1940,327,877,314,5.4386,0,0,0,0,280400
33.97,-118.02,34,1903,293,887,306,6.148,0,0,0,0,313800
34.42,-119.72,37,1635,427,1027,408,3.5905,0,0,0,1,264700
34.01,-118.1,42,1436,298,1005,298,3.4297,0,0,0,0,195800
34.06,-118.11,16,2416,565,1750,514,2.8229,0,0,0,0,163700
36.54,-121.82,22,1746,363,886,364,5.5469,0,0,0,0,378800
37.44,-122.14,52,3117,468,1114,421,6.6756,0,0,1,0,500001
37.34,-121.83,26,1848,339,1952,327,4.087,0,0,0,0,182500
33.84,-118.11,36,1523,263,717,278,4.875,0,0,0,0,218900
37.76,-122.46,52,2236,545,1186,532,3.4531,0,0,1,0,414300
40.25,-122.35,10,1621,318,866,283,3.5,1,0,0,0,104300
34.01,-118.47,44,2175,475,1019,448,4.793,0,0,0,0,470800
32.79,-117.2,34,757,212,409,222,3.2312,0,0,0,1,192200
33.78,-118.2,52,2662,893,3018,763,2.3305,0,0,0,1,162500
34.13,-118.08,35,1897,279,733,291,7.4185,1,0,0,0,500001
33.12,-117.08,33,674,208,565,188,1.875,0,0,0,0,114300
34.11,-118.18,44,1346,398,1204,344,2.3984,0,0,0,0,152200
32.81,-117.19,33,5226,833,2221,839,5.1491,0,0,0,1,207000
36.6,-120.19,25,875,214,931,214,1.5536,1,0,0,0,58300
34.01,-118.36,33,3140,466,1214,464,6.5044,0,0,0,0,350400
35.36,-118.94,19,2714,512,1823,500,3.1281,1,0,0,0,76200
34,-118.24,38,1715,414,1714,389,1.7132,0,0,0,0,108200
39.42,-121.71,21,1432,284,862,275,2.2813,1,0,0,0,57600
34.08,-117.7,10,1979,454,1117,389,3.7802,1,0,0,0,107300
37.29,-121.98,33,2120,349,907,336,7.5443,0,0,0,0,283000
37.75,-122.46,52,1207,152,465,162,10.7569,0,0,1,0,500001
38.03,-121.29,16,4356,881,1629,818,2.2672,1,0,0,0,91100
37.97,-122.57,47,5416,1115,2177,1027,3.5055,0,0,1,0,382100
33.92,-118.36,26,3695,1144,2308,1009,2.6667,0,0,0,0,229300
35.27,-120.65,15,2365,538,1446,490,2.5129,0,0,0,1,225900
33.72,-116.22,28,826,258,979,245,1.7172,1,0,0,0,58800
34.08,-117.44,15,5024,992,3208,981,3.6025,1,0,0,0,116400
33.99,-118.21,39,47,16,51,23,3.2188,0,0,0,0,112500
33.95,-118.38,35,3259,967,2003,920,3.2708,0,0,0,0,400000
34.2,-118.93,17,2619,606,1655,557,3.886,0,0,0,0,281300
38.67,-121.25,14,6155,1034,2407,941,4.2262,1,0,0,0,244300
34.1,-118.28,49,1767,467,1066,438,3.0958,0,0,0,0,210900
40.47,-124.1,52,1196,236,965,265,3.5345,0,0,0,0,55000
36.61,-121.92,29,3735,808,1873,757,3.1543,0,0,0,1,253800
38.26,-122.05,21,7195,1416,3927,1377,3.0912,1,0,0,0,126300
33.84,-116.86,18,521,118,174,74,2.7788,1,0,0,0,91100
36.06,-118.98,33,2043,443,1497,417,2.343,1,0,0,0,47400
32.77,-117.04,16,7963,1881,3769,1804,2.9624,0,0,0,0,144700
33.98,-118.18,36,903,266,1068,251,3.0398,0,0,0,0,165400
34.07,-118.39,45,3143,553,1153,564,5.7762,0,0,0,0,500001
35.41,-119.19,12,2835,471,1399,413,4.4125,1,0,0,0,149000
37.78,-122.19,52,1026,180,469,168,2.875,0,0,1,0,160000
32.83,-117.1,16,1049,154,467,160,6.2047,0,0,0,0,248100
36.74,-119.75,39,1740,351,1098,347,1.8958,1,0,0,0,51300
34.5,-118.44,5,1514,220,1355,215,8.1344,1,0,0,0,359000
38.28,-121.33,14,980,171,659,183,4.4306,1,0,0,0,170100
34.21,-119.05,27,4357,926,2110,876,3.0119,0,0,0,0,218200
33.89,-117.94,30,2577,404,1076,374,6.7528,0,0,0,0,459600
38.27,-122.3,4,1051,263,455,248,3.6389,0,0,1,0,130200
34.23,-118.61,26,3727,572,1724,530,6.1419,0,0,0,0,327300
33.16,-117.15,5,4750,962,2726,905,3.5839,0,0,0,0,158500
37.99,-122.55,34,3306,555,1398,585,4.8993,0,0,1,0,319900
33.48,-117.68,15,1786,299,727,293,5.0527,0,0,0,0,231400
34.1,-118.36,52,1096,247,423,230,3.0179,0,0,0,0,500001
34.07,-118.36,40,1821,447,777,441,2.3375,0,0,0,0,355200
33.51,-117.18,13,270,42,120,42,6.993,0,0,0,0,500001
38.79,-121.24,23,1419,261,706,269,3.1875,1,0,0,0,110200
37.83,-122.03,24,5948,738,1997,710,9.8708,0,0,1,0,500001
37.68,-122.12,40,1553,253,724,267,4.38,0,0,1,0,196400
36.79,-121.32,30,516,90,288,95,3.6333,1,0,0,0,202500
38.38,-122.02,16,808,137,371,145,6.0767,1,0,0,0,216400
33.79,-116.95,8,10997,2205,5060,1949,2.1979,1,0,0,0,95300
33.72,-118.05,14,2673,687,1192,656,4.1862,0,0,0,0,188900
33.63,-117.91,32,1901,400,946,418,2.7264,0,0,0,0,311100
34.26,-119.22,16,2596,625,1403,562,3.4018,0,0,0,1,145200
33.66,-117.58,4,3305,644,1693,597,5.2497,0,0,0,0,215000
34.88,-117.13,21,3254,669,1548,545,2.3373,1,0,0,0,57100
33.93,-116.44,17,5293,1266,1201,599,1.6849,1,0,0,0,88400
34.01,-118.25,45,782,270,1030,235,1.0898,0,0,0,0,93400
34.07,-118.44,35,1973,332,1257,296,8.9565,0,0,0,0,500001
32.64,-117.02,5,260,41,157,42,6.5151,0,0,0,1,281700
38.15,-122.58,9,1302,177,682,190,7.5,0,0,0,0,423200
34.24,-118.55,21,5751,1082,2230,1016,4.3458,0,0,0,0,407500
33.16,-117.34,24,1006,277,610,246,2.25,0,0,0,1,187500
36.78,-119.75,33,1145,197,508,198,2.3333,1,0,0,0,81300
37.31,-121.82,22,2044,402,1925,429,3.7102,0,0,0,0,177500
38.53,-121.5,37,3642,684,1508,657,3.5231,1,0,0,0,114300
33.7,-117.95,17,5781,924,2585,915,5.343,0,0,0,0,231900
34.12,-118.09,38,2638,432,1284,433,5.4536,0,0,0,0,342700
38.09,-122.61,18,6205,821,2311,756,6.9081,0,0,0,0,368700
33.89,-117.87,17,1441,530,769,456,2.425,0,0,0,0,171700
34.2,-118.37,34,2199,609,2488,597,2.9861,0,0,0,0,171800
33.67,-117.91,32,3058,562,1475,569,4.4625,0,0,0,0,253500
37.9,-122.05,32,4498,862,1818,851,4.8088,0,0,1,0,321200
34.23,-118.24,43,1061,208,514,208,6.01,0,0,0,0,254200
34.1,-118.37,37,407,67,100,47,15.0001,0,0,0,0,500001
34.2,-118.33,43,2322,418,1106,433,4.3631,0,0,0,0,284600
37.45,-122.13,37,2295,332,933,332,6.7257,0,0,1,0,500001
34.41,-118.4,22,4443,560,1573,496,10.0285,0,0,0,0,500001
37.71,-122.44,52,2711,591,1848,524,3.9567,0,0,1,0,251500
37.24,-121.96,26,3032,605,1208,562,5.4683,0,0,0,0,430900
33.91,-118.33,39,1224,312,1106,333,3.3491,0,0,0,0,181800
38,-121.81,37,2724,579,1400,540,2.905,1,0,0,0,97300
34.07,-118.09,38,1036,226,1058,235,3.2578,0,0,0,0,184200
32.69,-117.18,52,1837,313,668,300,5.1009,0,0,0,1,500001
33.95,-117.99,30,2217,284,851,291,10.4835,0,0,0,0,498600
38.65,-121.33,24,3533,741,1496,723,2.8106,1,0,0,0,183200
34.44,-119.75,28,1080,298,524,251,1.8432,0,0,0,1,327300
37.34,-121.92,52,2584,491,1087,433,4.4,0,0,0,0,391300
33.83,-118.1,37,2059,349,825,334,4.0603,0,0,0,0,225200
33.89,-118.08,37,1152,259,981,225,3.2857,0,0,0,0,153600
37.43,-122.12,36,3212,553,1455,574,6.46,0,0,1,0,425500
36.72,-121.06,23,395,70,166,52,2.2132,1,0,0,0,100000
32.96,-117.05,18,3593,661,1992,626,4.8295,0,0,0,0,165800
33.78,-116.46,25,1137,414,604,240,1.3801,1,0,0,0,55000
37.13,-121.6,14,9483,1361,4108,1281,7.5,0,0,0,0,344500
34.06,-117.77,27,2178,629,2379,591,1.9766,1,0,0,0,108000
34.2,-118.5,18,4249,933,2047,909,4.1304,0,0,0,0,229100
37.31,-122,33,4211,918,2389,861,4.7235,0,0,0,0,242200
33.86,-117.81,18,133,29,95,23,3.5625,0,0,0,0,235000
37.35,-121.96,32,1484,274,673,272,5.2019,0,0,0,0,279900
34.16,-118.44,33,1616,322,580,311,4.0391,0,0,0,0,337500
33.1,-117.25,14,3676,720,1176,614,3.9464,0,0,0,1,171900
32.69,-117.18,44,2819,514,1258,503,4.4777,0,0,0,1,452800
38.42,-122.86,38,1166,223,584,225,3.6667,0,0,0,0,244400
33.84,-117.93,26,2811,612,1374,566,3.475,0,0,0,0,282500
32.94,-117.25,16,4755,807,1829,756,6.7694,0,0,0,1,425900
33.88,-118.18,44,1308,267,783,237,4.7361,0,0,0,0,167700
36.68,-119.73,32,755,205,681,207,1.7986,1,0,0,0,49300
38.15,-121.99,36,263,73,88,42,2.5313,1,0,0,0,162500
34.15,-118.23,19,2294,716,1686,680,3.0288,0,0,0,0,258300
33.83,-117.55,6,502,76,228,65,4.2386,1,0,0,0,500001
36.82,-119.79,23,4358,819,1852,802,3.4167,1,0,0,0,105200
37.38,-122.26,28,1103,164,415,154,7.8633,0,0,0,1,500001
34.08,-118.05,30,1572,427,1857,428,2.4914,0,0,0,0,159200
37.76,-122.47,48,2464,459,1179,458,4.4946,0,0,1,0,358600
33.99,-118.47,37,2155,721,1082,637,3.4071,0,0,0,0,267500
34.07,-118.19,38,2965,665,2128,650,3.0241,0,0,0,0,166300
33.72,-117.76,11,4508,618,1993,573,10.4498,0,0,0,0,386100
34,-118.41,30,3550,934,3738,880,3.191,0,0,0,0,271200
34.2,-118.38,23,4138,1171,3911,1068,3.0125,0,0,0,0,181700
33.68,-117.8,14,2635,516,1150,499,4.4391,0,0,0,0,306700
33.72,-118.04,14,4494,1048,2222,963,4.7821,0,0,0,0,169400
40.62,-124.17,32,1595,309,706,277,2.8958,0,0,0,1,86400
34.11,-118.4,32,5578,753,1567,697,15.0001,0,0,0,0,500001
32.81,-117.14,34,1748,294,800,294,4.4886,0,0,0,1,179100
37.52,-120.89,42,1200,221,647,192,2.5402,1,0,0,0,157500
36.74,-119.67,19,2788,614,1365,525,2.7813,1,0,0,0,120300
33.16,-116.68,26,1820,374,1001,324,2.1797,1,0,0,0,156300
38.77,-122.85,18,2856,513,1027,405,4.6953,0,0,0,0,241700
35.04,-120.47,29,1315,279,926,249,2.9375,0,0,0,0,144800
34.03,-117.98,21,797,162,484,166,2.625,0,0,0,0,191100
34.11,-117.66,19,3445,661,1635,580,5.0681,1,0,0,0,230500
37.68,-120.99,30,1975,375,732,326,2.6932,1,0,0,0,94900
37.68,-120.98,27,4006,762,1806,718,3.1848,1,0,0,0,112800
33.99,-118.08,38,1683,328,1369,339,3.6196,0,0,0,0,170700
34.03,-118.41,36,3053,635,1234,577,5.1637,0,0,0,0,500001
34.27,-118.27,27,5205,859,2363,888,6.1946,0,0,0,0,276100
34.21,-118.2,42,1493,237,665,224,6.7571,0,0,0,0,443900
33.65,-117.59,4,1793,390,897,386,4.2463,0,0,0,0,182800
41.32,-122.3,13,2300,513,1151,488,2.1571,1,0,0,0,81500
33.43,-117.62,27,1835,413,1221,377,3.2232,0,0,0,1,247100
34.05,-118.52,45,1814,325,709,311,4.825,0,0,0,0,500001
37.53,-122.02,21,4280,673,2216,681,5.7072,0,0,1,0,242200
33.89,-118.35,29,2940,708,2175,684,3.6486,0,0,0,0,229000
34.64,-120.46,16,686,217,614,200,0.8106,0,0,0,1,83300
33.92,-118.01,34,4039,694,2269,663,5.2305,0,0,0,0,205100
32.98,-115.52,32,1615,382,1307,345,1.4583,1,0,0,0,58600
33.82,-118.27,39,1357,249,763,229,4.25,0,0,0,0,200300
38.66,-121.37,9,3184,779,1929,769,2.3844,1,0,0,0,86000
39.08,-121.54,26,2276,460,1455,474,2.4695,1,0,0,0,58000
32.74,-117.12,52,1969,389,877,424,3.79,0,0,0,1,163400
32.75,-117.13,50,1476,354,698,354,3,0,0,0,1,168800
33.77,-117.99,15,2081,531,1617,561,3.4955,0,0,0,0,160900
33.81,-118.38,39,2400,373,877,372,5.7361,0,0,0,1,500001
37.04,-119.94,14,1636,253,766,225,3.125,1,0,0,0,88500
34.03,-117.95,35,804,159,727,179,2.7361,0,0,0,0,145700
38.85,-121.39,19,3568,646,1714,590,4.0862,1,0,0,0,162700
36.96,-122.06,52,65,17,24,10,4.5,0,0,0,1,258300
35.38,-119.02,48,346,92,129,63,1.1875,1,0,0,0,63800
33.91,-118.33,8,10731,3335,7211,3028,2.455,0,0,0,0,192700
34.09,-118.29,43,1583,658,1941,614,1.9835,0,0,0,0,225000
33.82,-118.33,26,5591,934,2824,939,6.5861,0,0,0,0,417800
32.81,-115.37,32,741,191,623,169,1.7604,1,0,0,0,68600
37.93,-122.48,16,2947,802,1385,743,3.6731,0,0,1,0,318000
38.47,-122.67,16,3452,791,1567,731,2.4722,0,0,0,0,194300
33.12,-117.08,43,107,44,107,48,0.7054,0,0,0,0,137500
38.35,-121.99,45,1778,339,839,319,2.4659,1,0,0,0,102900
37.32,-120.45,21,1318,202,618,197,4.8214,1,0,0,0,117800
34,-116.91,18,553,100,215,82,5.5,1,0,0,0,193800
36.69,-121.8,12,3877,914,2274,858,3.4239,0,0,0,0,194800
36.81,-119.87,6,1891,341,969,330,4.6726,1,0,0,0,107800
34.01,-118.34,35,1359,359,655,341,2.5568,0,0,0,0,312500
33.9,-117.95,15,3057,479,1679,498,6.8429,0,0,0,0,372600
33.89,-118.25,37,1042,213,699,196,2.9643,0,0,0,0,103200
38.36,-121.99,35,2728,451,1290,452,3.2768,1,0,0,0,117600
33.54,-117.77,47,3090,652,1105,582,4.1699,0,0,0,0,373700
34.1,-118.05,30,2143,427,1107,416,4.2321,1,0,0,0,252200
33.73,-118.28,45,2137,559,1550,529,1.9167,0,0,0,1,227200
37.71,-122.47,42,1961,427,1211,409,3.5156,0,0,0,1,239400
32.72,-117.14,45,1140,310,840,339,1.6156,0,0,0,1,156300
40.35,-121.03,52,5486,1044,1977,754,2.1833,1,0,0,0,49500
37.99,-121.83,23,1150,174,572,174,4.9167,1,0,0,0,152400
33.29,-117.2,12,6358,1182,2778,1020,4.0357,0,0,0,0,295900
38.49,-121.5,29,3606,690,2317,696,2.7368,1,0,0,0,78200
34.25,-118.41,18,3447,857,3663,817,3.2284,0,0,0,0,157100
38,-121.72,7,7957,1314,4460,1293,4.9618,1,0,0,0,156500
36.8,-119.85,14,4177,914,2300,867,2.9565,1,0,0,0,73000
33.91,-118.06,24,4880,1044,4516,1050,4.1387,0,0,0,0,157700
34.27,-118.42,35,2700,702,3444,679,1.4867,0,0,0,0,124000
34.09,-117.87,36,1267,191,640,200,5.2405,0,0,0,0,220000
34.19,-118.5,35,2720,490,1158,445,5.0796,0,0,0,0,228300
33.93,-118.24,32,1063,282,992,253,0.8984,0,0,0,0,88700
34.2,-118.42,34,161,48,66,33,1,0,0,0,0,187500
36.68,-121.67,38,5561,1292,3523,1253,2.8289,0,0,0,0,168300
37.8,-122.42,52,4079,1112,1466,1024,4.5913,0,0,1,0,500001
37.75,-122.23,50,1542,289,654,268,3.9632,0,0,1,0,240000
33.6,-117.86,30,1891,364,635,314,6.6265,0,0,0,0,500001
37.35,-121.97,36,815,126,353,122,6.3191,0,0,0,0,258300
33.89,-118.25,34,1367,288,1183,286,2.6812,0,0,0,0,104100
37.67,-121.9,7,9540,1294,3926,1229,7.4353,0,0,0,0,389800
35.42,-119.05,35,2353,483,1368,455,2.325,1,0,0,0,63200
34.05,-118.02,28,991,255,1145,265,2.3611,0,0,0,0,167000
35.05,-118.16,44,1297,307,776,278,2.5875,1,0,0,0,68900
32.97,-115.54,41,2429,454,1188,430,3.0091,1,0,0,0,70800
34.05,-118.21,28,950,357,1485,345,1.9271,0,0,0,0,136400
34.06,-118.33,52,1841,240,693,218,15.0001,0,0,0,0,500001
33.19,-115.46,33,1234,373,777,298,1,1,0,0,0,40000
36.21,-119.09,43,1335,280,943,288,1.9861,1,0,0,0,47700
34.15,-118.12,22,1671,480,1005,443,3.0119,0,0,0,0,171400
33.89,-117.78,7,9729,1210,4160,1214,8.9088,0,0,0,0,415300
34.51,-117.31,18,2704,698,1611,597,2.0243,1,0,0,0,82300
36.75,-119.79,33,3161,934,3530,846,1.123,1,0,0,0,46700
36.61,-119.46,13,1348,258,719,246,3.625,1,0,0,0,108300
37.66,-121.79,22,14701,2210,6693,2232,5.98,1,0,0,0,245000
38.1,-122.23,47,1303,278,694,269,2.5969,0,0,1,0,92800
34.13,-117.24,24,1203,310,594,187,1.1522,1,0,0,0,87500
38.83,-120.87,12,2180,423,1070,377,2.8562,1,0,0,0,128200
39.23,-121.18,8,2112,360,782,344,3.7125,1,0,0,0,175000
37.91,-122.5,31,7001,1282,2755,1267,5.4851,0,0,1,0,441100
33.83,-118.29,24,4092,893,2819,893,4.1378,0,0,0,0,216500
34.36,-119.06,48,1459,324,902,350,2.4185,0,0,0,0,189900
34.23,-118.54,35,3422,601,1690,574,4.375,0,0,0,0,232900
37.83,-121.2,18,3415,580,1912,562,4.4423,1,0,0,0,161400
37.99,-122.11,10,2864,514,1300,507,4.3875,0,0,1,0,287700
33.82,-118.1,36,2422,420,1193,421,4.8462,0,0,0,0,225700
35.37,-118.87,14,2458,433,1352,411,3.5441,1,0,0,0,87000
34.19,-118.56,34,1237,242,671,221,3.9615,0,0,0,0,183600
37.47,-122.23,39,5264,1259,3057,1265,3.623,0,0,0,1,276600
32.77,-117.17,35,1399,274,695,281,3.767,0,0,0,1,166800
34.02,-118.41,27,2224,618,1594,625,3.0833,0,0,0,0,315500
39.32,-120.94,14,3120,595,1569,556,3.5385,1,0,0,0,157400
38,-122.31,26,3735,641,1708,633,4.621,0,0,1,0,191100
34.03,-118.18,37,2115,580,2842,572,2.239,0,0,0,0,121300
39.13,-121.62,41,1147,243,583,239,2.2431,1,0,0,0,63400
38.53,-121.4,38,152,30,65,35,0.9274,1,0,0,0,67500
34.04,-117.39,27,2919,549,1841,564,2.8682,1,0,0,0,96400
34.14,-117.95,33,1943,440,1526,353,3.038,1,0,0,0,137500
33.78,-118.19,31,1648,484,898,457,1.5844,0,0,0,1,162500
34.24,-119.29,27,4742,775,1682,696,6.194,0,0,0,1,500001
34.87,-120.4,10,2197,329,1064,319,4.9766,0,0,0,0,199600
38.79,-123.01,32,2697,529,1417,535,3.2546,0,0,0,0,134100
38.04,-121.11,32,1083,188,471,178,2.9241,1,0,0,0,187500
37.75,-122.41,52,1678,386,1220,357,2.5809,0,0,1,0,255300
34,-118.45,39,1909,359,867,345,4.7,0,0,0,0,334700
33.15,-117.2,11,4091,864,1927,765,3.0139,0,0,0,0,199000
36.06,-119.05,23,2344,407,1184,406,3.1625,1,0,0,0,70600
34.08,-117.81,13,18448,2474,7775,2397,7.7876,1,0,0,0,348900
33.8,-118.19,41,2125,591,1604,555,2.9943,0,0,0,1,190600
38.16,-121.16,31,1953,366,999,316,2.4906,1,0,0,0,122500
37.78,-121.95,4,14652,2826,5613,2579,6.3942,0,0,0,0,356700
33.96,-118.25,48,1052,234,793,216,1.6585,0,0,0,0,92900
33.98,-118.44,21,18132,5419,7431,4930,5.3359,0,0,0,0,500001
36.38,-119.69,25,1688,302,879,277,3.3214,1,0,0,0,103100
38.98,-121.06,14,2267,355,1140,369,4.7019,1,0,0,0,212800
39.13,-121.63,26,2355,531,1047,497,1.8208,1,0,0,0,79500
38.03,-120.28,13,2095,391,860,331,3.6838,1,0,0,0,145700
34.23,-118.52,35,1471,210,735,219,8.3841,0,0,0,0,472200
33.75,-117.79,26,2955,377,1074,373,9.3845,0,0,0,0,500001
33.89,-118.09,27,3399,882,2465,811,3.099,0,0,0,0,166600
34.07,-117.22,8,3065,692,1440,666,3.2368,1,0,0,0,129200
33.99,-118.47,50,1568,501,764,478,3.015,0,0,0,0,414300
39.15,-123.2,27,990,238,592,225,2.0074,0,0,0,0,96200
34.3,-118.51,24,6145,868,2710,875,7.5078,0,0,0,0,344000
33.93,-118.25,42,763,191,754,174,2.0486,0,0,0,0,101800
32.78,-117.07,26,3725,623,1516,627,4.7143,0,0,0,1,268300
36.6,-121.86,21,3634,1011,1985,917,2.9085,0,0,0,0,156300
38.01,-121.78,19,2688,469,1216,422,4.4491,1,0,0,0,133900
37.74,-122.42,52,2019,418,999,448,4.2212,0,0,1,0,271300
33.9,-118.31,28,1576,400,891,378,2.6312,0,0,0,0,171300
36.3,-119.2,32,1355,363,1427,384,1.3444,1,0,0,0,45600
34.16,-118.25,52,2477,385,993,371,4.9135,0,0,0,0,368100
37.46,-122.34,21,1799,293,576,277,7.439,0,0,0,1,500001
37.93,-121.93,16,2876,391,1089,377,6.299,1,0,0,0,286900
37.31,-121.98,32,2248,460,1191,419,5.606,0,0,0,0,288900
37.36,-120.59,11,3946,978,2814,953,2.0179,1,0,0,0,87300
36.82,-119.86,12,1488,253,675,223,4.7622,1,0,0,0,89300
34.1,-118.13,19,2742,756,1396,703,2.5663,0,0,0,0,197500
37.55,-122.3,35,3675,735,1930,715,3.9833,0,0,0,1,342800
33.79,-118.25,34,1349,371,1716,380,2.7143,0,0,0,1,138100
33.96,-117.35,25,2396,316,951,314,8.2405,1,0,0,0,235200
37.53,-122.3,37,1338,215,535,221,5.4351,0,0,0,1,376600
37.98,-122.01,25,1476,336,777,297,3.5179,0,0,1,0,165500
32.69,-117.03,10,901,163,698,167,4.6648,0,0,0,1,156100
32.77,-117.07,38,3779,614,1495,614,4.3529,0,0,0,1,184000
37.91,-122.56,52,1972,327,755,345,7.1924,0,0,1,0,500001
34.07,-118.39,33,5301,1281,2243,1159,4.2386,0,0,0,0,500001
33.74,-117.97,18,2814,539,1439,493,3.599,0,0,0,0,262000
40.61,-121.67,8,2411,463,786,297,2.1513,1,0,0,0,80400
34.05,-118.29,18,3585,1661,5229,1534,1.847,0,0,0,0,250000
34.06,-118.21,30,511,153,1152,149,2.3611,0,0,0,0,156800
33.89,-118.32,45,1928,453,1323,458,4.2813,0,0,0,0,210100
34.19,-119.21,15,3797,692,2216,675,4.7443,0,0,0,1,229500
37.34,-121.92,35,357,120,377,99,3.0139,0,0,0,0,204200
